#DMDensity EnergyDensity Pressure SIGCHIN SIGCHI2 DMmass 
0.297 4.25231e-20 7.05722e-16 0 55 0.19734
0.298 4.28099e-20 7.10482e-16 0 55 0.19734
0.299 4.30977e-20 7.15258e-16 0 55 0.19734
0.3 4.33865e-20 7.20051e-16 0 55 0.19734
0.301 4.36762e-20 7.24859e-16 0 55 0.19734
0.302 4.39669e-20 7.29683e-16 0 55 0.19734
0.303 4.42585e-20 7.34524e-16 0 55 0.19734
0.304 4.45511e-20 7.3938e-16 0 55 0.19734
0.305 4.48447e-20 7.44252e-16 0 55 0.19734
0.306 4.51393e-20 7.49141e-16 0 55 0.19734
0.307 4.54348e-20 7.54045e-16 0 55 0.19734
0.308 4.57313e-20 7.58965e-16 0 55 0.19734
0.309 4.60287e-20 7.63902e-16 0 55 0.19734
0.31 4.63271e-20 7.68854e-16 0 55 0.19734
0.311 4.66265e-20 7.73822e-16 0 55 0.19734
0.312 4.69268e-20 7.78807e-16 0 55 0.19734
0.313 4.72281e-20 7.83807e-16 0 55 0.19734
0.314 4.75303e-20 7.88823e-16 0 55 0.19734
0.315 4.78336e-20 7.93856e-16 0 55 0.19734
0.316 4.81378e-20 7.98904e-16 0 55 0.19734
0.317 4.84429e-20 8.03969e-16 0 55 0.19734
0.318 4.8749e-20 8.09049e-16 0 55 0.19734
0.319 4.90561e-20 8.14145e-16 0 55 0.19734
0.32 4.93641e-20 8.19258e-16 0 55 0.19734
0.321 4.96732e-20 8.24386e-16 0 55 0.19734
0.322 4.99831e-20 8.2953e-16 0 55 0.19734
0.323 5.02941e-20 8.34691e-16 0 55 0.19734
0.324 5.0606e-20 8.39867e-16 0 55 0.19734
0.325 5.09188e-20 8.45059e-16 0 55 0.19734
0.326 5.12327e-20 8.50268e-16 0 55 0.19734
0.327 5.15474e-20 8.55492e-16 0 55 0.19734
0.328 5.18632e-20 8.60733e-16 0 55 0.19734
0.329 5.21799e-20 8.65989e-16 0 55 0.19734
0.33 5.24976e-20 8.71261e-16 0 55 0.19734
0.331 5.28163e-20 8.7655e-16 0 55 0.19734
0.332 5.31359e-20 8.81854e-16 0 55 0.19734
0.333 5.34565e-20 8.87174e-16 0 55 0.19734
0.334 5.3778e-20 8.92511e-16 0 55 0.19734
0.335 5.41005e-20 8.97863e-16 0 55 0.19734
0.336 5.4424e-20 9.03232e-16 0 55 0.19734
0.337 5.47484e-20 9.08616e-16 0 55 0.19734
0.338 5.50738e-20 9.14016e-16 0 55 0.19734
0.339 5.54002e-20 9.19433e-16 0 55 0.19734
0.34 5.57275e-20 9.24865e-16 0 55 0.19734
0.341 5.60558e-20 9.30313e-16 0 55 0.19734
0.342 5.6385e-20 9.35778e-16 0 55 0.19734
0.343 5.67153e-20 9.41258e-16 0 55 0.19734
0.344 5.70464e-20 9.46755e-16 0 55 0.19734
0.345 5.73786e-20 9.52267e-16 0 55 0.19734
0.346 5.77117e-20 9.57795e-16 0 55 0.19734
0.347 5.80458e-20 9.6334e-16 0 55 0.19734
0.348 5.83808e-20 9.689e-16 0 55 0.19734
0.349 5.87168e-20 9.74477e-16 0 55 0.19734
0.35 5.90538e-20 9.80069e-16 0 55 0.19734
0.351 5.93917e-20 9.85677e-16 0 55 0.19734
0.352 5.97306e-20 9.91302e-16 0 55 0.19734
0.353 6.00705e-20 9.96942e-16 0 55 0.19734
0.354 6.04113e-20 1.0026e-15 0 55 0.19734
0.355 6.07531e-20 1.00827e-15 0 55 0.19734
0.356 6.10958e-20 1.01396e-15 0 55 0.19734
0.357 6.14396e-20 1.01966e-15 0 55 0.19734
0.358 6.17842e-20 1.02538e-15 0 55 0.19734
0.359 6.21299e-20 1.03112e-15 0 55 0.19734
0.36 6.24765e-20 1.03687e-15 0 55 0.19734
0.361 6.28241e-20 1.04264e-15 0 55 0.19734
0.362 6.31726e-20 1.04843e-15 0 55 0.19734
0.363 6.35221e-20 1.05423e-15 0 55 0.19734
0.364 6.38726e-20 1.06004e-15 0 55 0.19734
0.365 6.4224e-20 1.06587e-15 0 55 0.19734
0.366 6.45764e-20 1.07172e-15 0 55 0.19734
0.367 6.49298e-20 1.07759e-15 0 55 0.19734
0.368 6.52841e-20 1.08347e-15 0 55 0.19734
0.369 6.56394e-20 1.08936e-15 0 55 0.19734
0.37 6.59956e-20 1.09528e-15 0 55 0.19734
0.371 6.63528e-20 1.10121e-15 0 55 0.19734
0.372 6.6711e-20 1.10715e-15 0 55 0.19734
0.373 6.70702e-20 1.11311e-15 0 55 0.19734
0.374 6.74303e-20 1.11909e-15 0 55 0.19734
0.375 6.77913e-20 1.12508e-15 0 55 0.19734
0.376 6.81534e-20 1.13109e-15 0 55 0.19734
0.377 6.85164e-20 1.13711e-15 0 55 0.19734
0.378 6.88803e-20 1.14315e-15 0 55 0.19734
0.379 6.92453e-20 1.14921e-15 0 55 0.19734
0.38 6.96112e-20 1.15528e-15 0 55 0.19734
0.381 6.9978e-20 1.16137e-15 0 55 0.19734
0.382 7.03458e-20 1.16747e-15 0 55 0.19734
0.383 7.07146e-20 1.17359e-15 0 55 0.19734
0.384 7.10844e-20 1.17973e-15 0 55 0.19734
0.385 7.14551e-20 1.18588e-15 0 55 0.19734
0.386 7.18268e-20 1.19205e-15 0 55 0.19734
0.387 7.21994e-20 1.19824e-15 0 55 0.19734
